race_ethnicity,Deaths,Births,mmr,disparity_ratio,disparity_gap
AIAN (NH),126.0,138234.0,91.14978948739095,3.2225578121429868,62.86486961910261
Black (NH),1999.0,2683750.0,74.4853283651607,2.633393649761405,46.20040849687236
White (NH),2703.0,9556329.0,28.284919868288334,1.0,0.0
Hispanic or Latino,1092.0,4462727.0,24.469343520228776,0.8651020980145185,-3.815576348059558
Asian/PI (NH),224.0,1214233.0,18.447859677673065,0.6522153770835286,-9.837060190615269
Multiracial (NH),68.0,429676.0,15.825878103501243,0.5595164553124452,-12.459041764787091
