State,Year,Deaths,Births,MMR
Missouri,2018.0,17.0,73254.0,23.206923853987494
Louisiana,2022.0,13.0,56479.0,23.017404699091696
Ohio,2023.0,29.0,126890.0,22.854440854283236
Texas,2019.0,86.0,377595.0,22.77572531415935
Florida,2018.0,49.0,221537.0,22.118201474245836
New York,2023.0,44.0,203605.0,21.610471255617497
California,2021.0,90.0,420608.0,21.39759586122946
Utah,2019.0,10.0,46826.0,21.355657113569382
Indiana,2022.0,17.0,79638.0,21.346593334840154
Kentucky,2022.0,11.0,52311.0,21.028082047752864
Illinois,2020.0,28.0,133293.0,21.00635442221272
Colorado,2022.0,13.0,62381.0,20.839678748336834
Illinois,2023.0,26.0,124813.0,20.831163420477033
Indiana,2018.0,17.0,81637.0,20.823891127797445
Maryland,2022.0,14.0,68776.0,20.35593811794812
Minnesota,2021.0,13.0,64414.0,20.18194802372155
Washington,2019.0,17.0,84895.0,20.02473643913069
Pennsylvania,2023.0,25.0,126942.0,19.69403349561217
North Carolina,2018.0,23.0,118942.0,19.337155924736425
Arizona,2021.0,15.0,77908.0,19.253478461775426
Maryland,2021.0,13.0,68282.0,19.038692481180984
Missouri,2022.0,13.0,68981.0,18.845769124831474
Pennsylvania,2018.0,25.0,135668.0,18.42733732346611
Wisconsin,2023.0,11.0,59746.0,18.411274394938573
Arizona,2022.0,14.0,78541.0,17.82508498745878
Pennsylvania,2020.0,23.0,130690.0,17.59889815594154
Maryland,2019.0,12.0,70170.0,17.101325352714834
California,2018.0,77.0,454920.0,16.926052932383715
Massachusetts,2020.0,11.0,66425.0,16.560030109145654
California,2020.0,69.0,420259.0,16.41844671976091
Wisconsin,2021.0,10.0,61759.0,16.19197202027235
New Jersey,2018.0,16.0,101219.0,15.807308904454697
Michigan,2023.0,15.0,99120.0,15.13317191283293
Washington,2018.0,13.0,86085.0,15.10135331358541
Maryland,2020.0,10.0,68540.0,14.590020426028595
Massachusetts,2022.0,10.0,68576.0,14.582361175921605
Washington,2021.0,12.0,83911.0,14.300866394155713
New Jersey,2023.0,14.0,101000.0,13.86138613861386
Washington,2023.0,11.0,80932.0,13.591657193693472
Ohio,2018.0,18.0,135133.0,13.320210459325258
California,2023.0,52.0,400108.0,12.99649094744419
California,2022.0,52.0,419104.0,12.407421546919142
California,2019.0,53.0,446479.0,11.870659090349154
Illinois,2018.0,13.0,144803.0,8.977714550112912
Illinois,2019.0,12.0,140121.0,8.5640268054039
Rhode Island,2018.0,0.0,10490.0,0.0
Rhode Island,2019.0,0.0,10162.0,0.0
Oklahoma,2021.0,0.0,48393.0,0.0
Oregon,2023.0,0.0,38298.0,0.0
Oregon,2019.0,0.0,41851.0,0.0
Oregon,2018.0,0.0,42173.0,0.0
Oklahoma,2023.0,0.0,47888.0,0.0
Oklahoma,2022.0,0.0,48317.0,0.0
Rhode Island,2021.0,0.0,10459.0,0.0
Oklahoma,2020.0,0.0,47614.0,0.0
Oklahoma,2019.0,0.0,49136.0,0.0
Arizona,2023.0,0.0,78094.0,0.0
North Dakota,2023.0,0.0,9642.0,0.0
Rhode Island,2020.0,0.0,10086.0,0.0
Delaware,2020.0,0.0,10380.0,0.0
Rhode Island,2022.0,0.0,10254.0,0.0
West Virginia,2021.0,0.0,17181.0,0.0
Vermont,2022.0,0.0,5298.0,0.0
Vermont,2023.0,0.0,5034.0,0.0
Virginia,2018.0,0.0,99833.0,0.0
Alaska,2019.0,0.0,9810.0,0.0
Alaska,2018.0,0.0,10076.0,0.0
Washington,2020.0,0.0,83086.0,0.0
Washington,2022.0,0.0,83333.0,0.0
West Virginia,2019.0,0.0,18111.0,0.0
West Virginia,2020.0,0.0,17294.0,0.0
West Virginia,2022.0,0.0,16908.0,0.0
Rhode Island,2023.0,0.0,9790.0,0.0
West Virginia,2023.0,0.0,16589.0,0.0
Wisconsin,2018.0,0.0,64082.0,0.0
Wisconsin,2019.0,0.0,63247.0,0.0
Wisconsin,2020.0,0.0,60572.0,0.0
Wyoming,2018.0,0.0,6532.0,0.0
Wyoming,2019.0,0.0,6534.0,0.0
Wyoming,2020.0,0.0,6094.0,0.0
Wyoming,2021.0,0.0,6211.0,0.0
Wyoming,2022.0,0.0,6028.0,0.0
Vermont,2021.0,0.0,5356.0,0.0
Vermont,2020.0,0.0,5115.0,0.0
Vermont,2019.0,0.0,5352.0,0.0
Vermont,2018.0,0.0,5412.0,0.0
South Carolina,2018.0,0.0,56664.0,0.0
South Carolina,2023.0,0.0,57715.0,0.0
South Dakota,2018.0,0.0,11878.0,0.0
South Dakota,2019.0,0.0,11423.0,0.0
South Dakota,2020.0,0.0,10920.0,0.0
South Dakota,2021.0,0.0,11339.0,0.0
South Dakota,2022.0,0.0,11186.0,0.0
South Dakota,2023.0,0.0,11192.0,0.0
North Dakota,2021.0,0.0,10108.0,0.0
Arizona,2019.0,0.0,79370.0,0.0
Alaska,2023.0,0.0,9000.0,0.0
Alaska,2022.0,0.0,9350.0,0.0
Alaska,2021.0,0.0,9352.0,0.0
Alaska,2020.0,0.0,9433.0,0.0
Utah,2018.0,0.0,47203.0,0.0
Utah,2020.0,0.0,45687.0,0.0
Utah,2021.0,0.0,46698.0,0.0
Utah,2022.0,0.0,45755.0,0.0
Utah,2023.0,0.0,45009.0,0.0
North Dakota,2022.0,0.0,9544.0,0.0
New Hampshire,2019.0,0.0,11818.0,0.0
North Dakota,2020.0,0.0,10036.0,0.0
Idaho,2021.0,0.0,22416.0,0.0
Idaho,2023.0,0.0,22377.0,0.0
Iowa,2018.0,0.0,37780.0,0.0
Iowa,2019.0,0.0,37642.0,0.0
Iowa,2020.0,0.0,36108.0,0.0
Connecticut,2019.0,0.0,34236.0,0.0
Iowa,2022.0,0.0,36500.0,0.0
Iowa,2023.0,0.0,36049.0,0.0
Kansas,2018.0,0.0,36245.0,0.0
Kansas,2019.0,0.0,35382.0,0.0
Kansas,2020.0,0.0,34368.0,0.0
Kansas,2021.0,0.0,34694.0,0.0
Kansas,2022.0,0.0,34386.0,0.0
Kansas,2023.0,0.0,34051.0,0.0
Connecticut,2018.0,0.0,34713.0,0.0
Colorado,2023.0,0.0,61492.0,0.0
Colorado,2021.0,0.0,62946.0,0.0
Colorado,2020.0,0.0,61491.0,0.0
Colorado,2019.0,0.0,62865.0,0.0
Maine,2018.0,0.0,12285.0,0.0
Maine,2019.0,0.0,11760.0,0.0
Maine,2020.0,0.0,11524.0,0.0
Idaho,2022.0,0.0,22377.0,0.0
Idaho,2020.0,0.0,21523.0,0.0
North Dakota,2019.0,0.0,10431.0,0.0
Idaho,2019.0,0.0,22044.0,0.0
Delaware,2022.0,0.0,10797.0,0.0
Delaware,2023.0,0.0,10415.0,0.0
District of Columbia,2018.0,0.0,9209.0,0.0
District of Columbia,2019.0,0.0,9072.0,0.0
District of Columbia,2020.0,0.0,8855.0,0.0
District of Columbia,2021.0,0.0,8643.0,0.0
District of Columbia,2022.0,0.0,8058.0,0.0
District of Columbia,2023.0,0.0,7875.0,0.0
Delaware,2019.0,0.0,10555.0,0.0
Delaware,2018.0,0.0,10600.0,0.0
Connecticut,2023.0,0.0,34544.0,0.0
Connecticut,2022.0,0.0,35326.0,0.0
Connecticut,2021.0,0.0,35666.0,0.0
Connecticut,2020.0,0.0,33444.0,0.0
Hawaii,2018.0,0.0,16950.0,0.0
Hawaii,2019.0,0.0,16781.0,0.0
Hawaii,2020.0,0.0,15765.0,0.0
Hawaii,2021.0,0.0,15590.0,0.0
Hawaii,2022.0,0.0,15499.0,0.0
Hawaii,2023.0,0.0,14800.0,0.0
Idaho,2018.0,0.0,21394.0,0.0
Maine,2021.0,0.0,11983.0,0.0
Maine,2022.0,0.0,12070.0,0.0
Maine,2023.0,0.0,11606.0,0.0
Maryland,2018.0,0.0,71068.0,0.0
Nebraska,2023.0,0.0,24105.0,0.0
Nevada,2018.0,0.0,35671.0,0.0
Nevada,2019.0,0.0,35064.0,0.0
Nevada,2020.0,0.0,33650.0,0.0
Nevada,2021.0,0.0,33683.0,0.0
Nevada,2022.0,0.0,33186.0,0.0
Nevada,2023.0,0.0,31787.0,0.0
New Hampshire,2018.0,0.0,11959.0,0.0
Delaware,2021.0,0.0,10464.0,0.0
New Hampshire,2020.0,0.0,11773.0,0.0
New Hampshire,2021.0,0.0,12586.0,0.0
New Hampshire,2022.0,0.0,12041.0,0.0
New Hampshire,2023.0,0.0,11901.0,0.0
New Mexico,2018.0,0.0,23018.0,0.0
New Mexico,2019.0,0.0,22939.0,0.0
New Mexico,2020.0,0.0,21892.0,0.0
New Mexico,2022.0,0.0,21602.0,0.0
New Mexico,2023.0,0.0,20934.0,0.0
Arkansas,2022.0,0.0,35456.0,0.0
Arkansas,2019.0,0.0,36543.0,0.0
North Dakota,2018.0,0.0,10621.0,0.0
Nebraska,2022.0,0.0,24335.0,0.0
Nebraska,2021.0,0.0,24595.0,0.0
Nebraska,2020.0,0.0,24284.0,0.0
Minnesota,2023.0,0.0,61706.0,0.0
Maryland,2023.0,0.0,65588.0,0.0
Massachusetts,2018.0,0.0,69099.0,0.0
Massachusetts,2019.0,0.0,69105.0,0.0
Massachusetts,2021.0,0.0,69135.0,0.0
Massachusetts,2023.0,0.0,67086.0,0.0
Minnesota,2018.0,0.0,67338.0,0.0
Minnesota,2019.0,0.0,66016.0,0.0
Minnesota,2020.0,0.0,63438.0,0.0
Minnesota,2022.0,0.0,64009.0,0.0
Mississippi,2018.0,0.0,36990.0,0.0
Nebraska,2019.0,0.0,24753.0,0.0
Colorado,2018.0,0.0,62880.0,0.0
Missouri,2019.0,0.0,72112.0,0.0
Montana,2018.0,0.0,11497.0,0.0
Montana,2019.0,0.0,11064.0,0.0
Montana,2020.0,0.0,10767.0,0.0
Montana,2021.0,0.0,11214.0,0.0
Montana,2022.0,0.0,11159.0,0.0
Montana,2023.0,0.0,11047.0,0.0
Nebraska,2018.0,0.0,25484.0,0.0
Wyoming,2023.0,0.0,5962.0,0.0
