Year,Best_5_Avg,Worst_5_Avg
2018,15.581709021322595,34.29533245037894
2019,14.397132488370591,37.46518671656006
2020,17.537654806340445,48.98042169370601
2021,22.62119485632533,66.33371518611928
2022,18.977003937728316,40.26634273631169
2023,15.772054694962153,37.87191582002903
